,ID,Museum.specific.ID,Museum,Region,Site,Country.of.site,Specimen.collection.no.,Assemblage.layer.no.,Contextual.information,Preservation,Raw.material,Length..mm.,Width..mm.,Thickness..mm.,Site.1,Photograph.names,Edited.photo.name,Researcher.initials..photo.,Researcher.initials..measurements.,Supplementary.information,LT.notes,Assemblage_2,Min.age,Mid.age,Max.age,N,E
205,1062,12,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,44.9,33.6,13.4,Prospect Farm,DSC_0398,E_point_238,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
206,1063,13,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,28.6,22.9,9.8,Prospect Farm,DSC_0399,E_point_239,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
207,1064,15,,East,Prospect Farm,Kenya,CD5/3201,GsJi 7,63,Complete,Obsidian,46.9,23.6,9.4,Prospect Farm,DSC_0401,E_point_240,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
208,1065,17,,East,Prospect Farm,Kenya,CD19/3201,GsJi 7,63,Complete,Obsidian,37.6,25.8,8.5,Prospect Farm,DSC_0403,E_point_241,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
209,1066,18,,East,Prospect Farm,Kenya,CD18/3201,GsJi 7,63,Complete,Obsidian,36.7,26,9.7,Prospect Farm,DSC_0404,E_point_242,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
210,1067,19,,East,Prospect Farm,Kenya,CD17/3201,GsJi 7,63,Complete,Obsidian,32,21.5,8.6,Prospect Farm,DSC_0405,E_point_243,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
211,1068,20,,East,Prospect Farm,Kenya,CD20/3201,GsJi 7,63,Complete,Obsidian,27.3,23.1,10.3,Prospect Farm,DSC_0406,E_point_244,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
212,1069,21,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,30.6,26.8,11.8,Prospect Farm,DSC_0407,E_point_245,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
213,1070,22,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,31.2,25.6,8.2,Prospect Farm,DSC_0408,E_point_246,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
214,1071,23,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,32.7,25.9,8.6,Prospect Farm,DSC_0409,E_point_247,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
215,1072,24,,East,Prospect Farm,Kenya,1230/3201,GsJi 7,63,Complete,Obsidian,46.7,27.9,10.2,Prospect Farm,DSC-0410,E_point_248,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
216,1073,26,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,36.9,22.6,6.3,Prospect Farm,DSC_0412,E_point_249,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
217,1074,27,,East,Prospect Farm,Kenya,3201,GsJi 7,63,Complete,Obsidian,37.3,23.2,8.1,Prospect Farm,DSC_0413,E_point_250,SM,CM,Weathered,NA,GsJi 7,50,85,120,-0.59,36.18
218,1075,28,,East,Prospect Farm,Kenya,,GsJi 7,63,Complete,Obsidian,37.7,19.2,6.6,Prospect Farm,DSC_0414,E_point_251,SM,CM,,NA,GsJi 7,50,85,120,-0.59,36.18
